trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-79.93511333749908,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-67.32708020839037,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,1,-103.67744189480095,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-124.57920523968262,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-96.96136856762466,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-107.0092253425862,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-98.38098376276051,"{0: 16, 1: 1, 2: 5, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-141.22447600979436,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-31.589279477360392,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-106.39728731748968,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,4,-103.90590282592785,"{0: 8, 1: 2, 2: 3, 3: 2, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-113.72983184601628,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,11,-31.48785035726347,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-17.590971467001136,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-70.20980236331945,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,11,-62.84709084308315,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-21.280353451213358,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-35.92661430167971,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,17,-25.45466700449244,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-19.029789487256302,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-2.8771616355162415,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,8,28.166451296882776,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-36.239369134058514,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-67.5208322222222,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-46.4236174070645,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-5.917772093858275,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-19.231216110846454,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,7.985206662874577,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,1.3267376295848359,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,3,1.9857545723083512,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
