trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999500004166653}",30,0,-148.3044314434426,"{0: 13, 1: 8, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9998000066665778}",25,0,-138.392214810609,"{0: 11, 1: 2, 2: 10, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9995500337489875}",30,0,-123.80975781799813,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9992001066609779}",30,0,-148.63390375721573,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9987502603949663}",25,0,-70.5253344252546,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-83.52957301199233,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9975510002532796}",20,0,-124.76113066185783,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9968017063026194}",25,11,-24.08349426091543,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,0,-90.60389323991997,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9950041652780258}",35,0,-108.94477647745474,"{0: 21, 1: 3, 2: 10, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9939560979566968}",30,0,-162.17915977153785,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9928086358538663}",20,0,-121.80176218489605,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9915618937147881}",25,0,-74.27608704102498,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9902159962126371}",20,0,-61.82432817052375,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9887710779360422}",30,0,-108.76928051806311,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9872272833756269}",20,0,-143.54993094070983,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9855847669095608}",20,0,-120.53995029207366,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9838436927881214}",30,0,-195.59020613356972,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9820042351172703}",25,0,-114.76681590521592,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9800665778412416}",30,0,-159.93003251550383,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
