trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.232027517546,"{0: 20, 1: 1, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.94697980187252,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-125.17059731256147,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-136.02035212523765,"{0: 20, 1: 5, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-184.14070220590492,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-2.820984166715585,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-78.07041204699581,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-205.73008970622593,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.15229292897754,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.77930108403804,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-117.9719386440095,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.50935987776157,"{0: 11, 1: 2, 2: 11, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-75.01196416975591,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.19925593995515,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.33573371739178,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.90649445913529,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.00329154724078,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.91399290255643,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-206.70017509413026,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.1345867043869,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.86607003767797,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.89840583137187,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-225.58465828739438,"{0: 7, 1: 1, 2: 5, 3: 5, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.36643393848913,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-178.57970304190908,"{0: 8, 1: 0, 2: 7, 3: 4, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-126.53679107688765,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.072457783717184,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-75.67316474434656,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,11,-99.57254307400827,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-226.9252468097022,"{0: 16, 1: 1, 2: 8, 3: 2, 4: 3}",0
